"""n°_transaction""",date,type,details,selection,description,pièce,billet,carte_bancaire,fidélitée,prix,insérée,rendue
65739.0,2025-07-01 09:37:28,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65738.0,2025-07-01 09:36:46,démarrage,*,34.0,Lessive  ,0.0,0,1.2,0,1.2,1.2,0.0
65737.0,2025-07-01 09:10:57,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65736.0,2025-07-01 08:49:00,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65735.0,2025-07-01 08:45:38,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65734.0,2025-07-01 08:45:13,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65733.0,2025-07-01 08:40:41,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65732.0,2025-07-01 08:37:05,démarrage,*,21.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65731.0,2025-07-01 08:24:47,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65730.0,2025-07-01 08:24:20,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65729.0,2025-07-01 08:23:55,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65728.0,2025-07-01 08:01:54,démarrage,*,14.0,Machine 16 kg,9.0,0,0.0,0,9.0,9.0,0.0
65727.0,2025-07-01 07:54:49,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65726.0,2025-07-01 07:54:11,démarrage,*,15.0,Machine 16 kg,9.0,0,0.0,0,9.0,9.0,0.0
65725.0,2025-07-01 07:18:09,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65724.0,2025-07-01 07:17:29,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65723.0,2025-07-01 07:16:41,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65722.0,2025-07-01 07:15:44,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65721.0,2025-07-01 07:13:17,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65720.0,2025-07-01 07:01:05,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65719.0,2025-06-30 19:44:49,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65718.0,2025-06-30 19:44:33,démarrage,*,14.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65717.0,2025-06-30 15:57:32,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65716.0,2025-06-30 15:56:59,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65715.0,2025-06-30 15:48:17,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65714.0,2025-06-30 15:14:12,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65713.0,2025-06-30 14:55:13,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65712.0,2025-06-30 14:08:15,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65711.0,2025-06-30 13:11:02,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65710.0,2025-06-30 12:31:20,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65709.0,2025-06-30 12:30:50,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65708.0,2025-06-30 12:19:37,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65707.0,2025-06-30 11:54:59,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65706.0,2025-06-30 11:53:57,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65705.0,2025-06-30 11:19:17,démarrage,*,34.0,Lessive  ,0.0,0,1.2,0,1.2,1.2,0.0
65704.0,2025-06-30 11:18:32,démarrage,*,33.0,Détachant ,0.0,0,1.2,0,1.2,1.2,0.0
65703.0,2025-06-30 11:17:18,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65702.0,2025-06-30 10:23:37,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65701.0,2025-06-30 10:08:58,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65700.0,2025-06-30 09:55:32,démarrage,*,15.0,Machine 16 kg,9.0,0,0.0,0,9.0,9.0,0.0
65699.0,2025-06-30 09:26:42,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65698.0,2025-06-30 09:23:52,démarrage,*,13.0,Machine 8 kg,0.0,5,0.0,0,4.5,5.0,0.5
65696.0,2025-06-30 09:13:49,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65695.0,2025-06-30 09:12:22,démarrage,*,12.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65694.0,2025-06-30 08:30:37,démarrage,*,10.0,Machine 8 kg,0.0,5,0.0,0,4.5,5.0,0.5
65693.0,2025-06-30 08:29:53,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65692.0,2025-06-30 07:58:16,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65691.0,2025-06-30 07:57:50,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65690.0,2025-06-30 07:54:17,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65689.0,2025-06-30 07:21:31,démarrage,*,15.0,Machine 16 kg,0.0,20,0.0,0,9.0,20.0,11.0
65688.0,2025-06-30 07:20:41,démarrage,*,14.0,Machine 16 kg,0.0,20,0.0,0,9.0,20.0,11.0
65687.0,2025-06-29 17:11:48,démarrage,*,10.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65686.0,2025-06-29 16:49:13,démarrage,*,21.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65685.0,2025-06-29 16:25:12,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65684.0,2025-06-29 15:36:38,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65683.0,2025-06-29 12:27:14,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65682.0,2025-06-29 12:26:46,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65681.0,2025-06-29 09:55:57,démarrage,*,13.0,Machine 8 kg,0.0,5,0.0,0,4.5,5.0,0.5
65680.0,2025-06-29 09:50:27,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65679.0,2025-06-29 09:33:16,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65678.0,2025-06-29 09:10:15,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65677.0,2025-06-29 09:02:55,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65676.0,2025-06-29 08:56:33,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65675.0,2025-06-29 08:56:02,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65674.0,2025-06-29 08:30:08,démarrage,*,14.0,Machine 16 kg,9.0,0,0.0,0,9.0,9.0,0.0
65673.0,2025-06-29 08:17:49,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65672.0,2025-06-28 19:26:16,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65671.0,2025-06-28 17:38:08,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65670.0,2025-06-28 17:36:01,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65669.0,2025-06-28 17:09:48,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65668.0,2025-06-28 17:09:36,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65667.0,2025-06-28 16:58:42,démarrage,*,12.0,Machine 8 kg,5.0,0,0.0,0,4.5,5.0,0.5
65666.0,2025-06-28 15:54:45,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65665.0,2025-06-28 15:54:30,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65664.0,2025-06-28 15:39:41,démarrage,*,13.0,Machine 8 kg,5.0,0,0.0,0,4.5,5.0,0.5
65663.0,2025-06-28 15:39:08,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65662.0,2025-06-28 15:37:54,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65661.0,2025-06-28 15:05:35,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65660.0,2025-06-28 14:50:13,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65659.0,2025-06-28 14:49:52,démarrage,*,35.0,Lessive  ,0.0,0,1.2,0,1.2,1.2,0.0
65658.0,2025-06-28 14:20:28,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65657.0,2025-06-28 14:08:53,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65656.0,2025-06-28 13:20:43,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65655.0,2025-06-28 13:18:19,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65654.0,2025-06-28 13:16:35,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65653.0,2025-06-28 13:16:18,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65652.0,2025-06-28 13:05:22,démarrage,*,10.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.6,0.1
65651.0,2025-06-28 12:07:46,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65650.0,2025-06-28 12:07:25,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65649.0,2025-06-28 11:20:30,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65648.0,2025-06-28 11:18:58,démarrage,*,31.0,Lingette ,1.0,0,0.0,0,1.0,1.0,0.0
65647.0,2025-06-28 11:18:42,démarrage,*,34.0,Lessive  ,0.0,0,0.0,0,1.2,1.5,0.3
65646.0,2025-06-28 10:50:21,démarrage,*,23.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65645.0,2025-06-28 10:49:50,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65644.0,2025-06-28 10:49:38,démarrage,*,23.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65643.0,2025-06-28 10:49:17,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65642.0,2025-06-28 10:49:05,démarrage,*,23.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65641.0,2025-06-28 10:48:42,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.6,0.1
65640.0,2025-06-28 10:48:18,démarrage,*,23.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65639.0,2025-06-28 10:48:01,démarrage,*,22.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65638.0,2025-06-28 10:44:07,démarrage,*,21.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65637.0,2025-06-28 10:42:09,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65636.0,2025-06-28 10:41:17,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65635.0,2025-06-28 10:40:50,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65634.0,2025-06-28 10:01:08,démarrage,*,35.0,Lessive  ,0.0,0,0.0,0,1.2,1.2,0.0
65633.0,2025-06-28 10:00:12,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65632.0,2025-06-28 09:59:28,démarrage,*,14.0,Machine 16 kg,0.0,20,0.0,0,9.0,20.0,11.0
65631.0,2025-06-28 09:58:18,démarrage,*,15.0,Machine 16 kg,0.0,20,0.0,0,9.0,20.0,11.0
65630.0,2025-06-28 09:57:27,démarrage,*,10.0,Machine 8 kg,5.0,0,0.0,0,4.5,5.0,0.5
65629.0,2025-06-28 07:38:53,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65628.0,2025-06-28 07:35:18,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65627.0,2025-06-28 06:54:54,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65626.0,2025-06-28 06:41:04,démarrage,*,10.0,Machine 8 kg,0.0,5,0.0,0,4.5,5.0,0.5
65625.0,2025-06-27 20:16:54,démarrage,*,23.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65624.0,2025-06-27 18:47:15,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65623.0,2025-06-27 18:46:52,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65622.0,2025-06-27 17:22:30,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65621.0,2025-06-27 15:51:25,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65620.0,2025-06-27 15:14:42,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65619.0,2025-06-27 15:10:24,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65618.0,2025-06-27 14:46:18,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65617.0,2025-06-27 14:31:54,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65616.0,2025-06-27 14:30:11,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65615.0,2025-06-27 14:28:49,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65614.0,2025-06-27 11:42:41,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65613.0,2025-06-27 10:53:55,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65612.0,2025-06-27 10:10:53,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65611.0,2025-06-27 10:01:26,démarrage,*,12.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65610.0,2025-06-27 09:48:02,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65609.0,2025-06-27 09:46:55,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65608.0,2025-06-27 09:31:05,démarrage,*,14.0,Machine 16 kg,0.0,20,0.0,0,9.0,20.0,11.0
65607.0,2025-06-27 09:13:56,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65606.0,2025-06-27 08:57:51,démarrage,*,12.0,Machine 8 kg,6.0,0,0.0,0,4.5,6.0,1.5
65605.0,2025-06-27 08:35:46,démarrage,*,11.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65604.0,2025-06-27 08:35:18,démarrage,*,10.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65603.0,2025-06-27 08:25:55,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65602.0,2025-06-27 08:25:36,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65601.0,2025-06-27 08:25:22,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65600.0,2025-06-27 08:24:30,démarrage,*,32.0,Détachant ,0.0,0,0.0,0,1.2,1.2,0.0
65599.0,2025-06-27 08:24:16,démarrage,*,32.0,Détachant ,0.0,0,0.0,0,1.2,1.2,0.0
65598.0,2025-06-27 08:24:00,démarrage,*,32.0,Détachant ,0.0,0,0.0,0,1.2,1.2,0.0
65597.0,2025-06-26 15:33:37,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65596.0,2025-06-26 15:05:46,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65595.0,2025-06-26 14:34:22,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65594.0,2025-06-26 14:34:09,démarrage,*,21.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65593.0,2025-06-26 13:42:46,démarrage,*,11.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.5,6.0
65592.0,2025-06-26 11:27:03,démarrage,*,11.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65591.0,2025-06-26 10:05:34,démarrage,*,12.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65590.0,2025-06-26 10:04:45,démarrage,*,11.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65589.0,2025-06-26 09:54:51,démarrage,*,10.0,Machine 8 kg,0.0,5,0.0,0,4.5,5.0,0.5
65588.0,2025-06-26 09:44:47,démarrage,*,14.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65587.0,2025-06-26 09:22:01,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65586.0,2025-06-26 09:21:42,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65585.0,2025-06-25 19:07:35,démarrage,*,23.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65584.0,2025-06-25 19:04:15,démarrage,*,21.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65583.0,2025-06-25 18:59:25,démarrage,*,22.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65582.0,2025-06-25 18:25:54,démarrage,*,14.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65581.0,2025-06-25 18:23:29,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65580.0,2025-06-25 17:38:48,démarrage,*,13.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
65579.0,2025-06-25 16:36:11,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65578.0,2025-06-25 15:48:39,démarrage,*,13.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65577.0,2025-06-25 15:47:10,démarrage,*,33.0,Détachant ,0.0,0,1.2,0,1.2,1.2,0.0
65576.0,2025-06-25 15:46:15,démarrage,*,14.0,Machine 16 kg,9.0,0,0.0,0,9.0,9.0,0.0
65575.0,2025-06-25 15:06:48,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65574.0,2025-06-25 14:27:29,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65573.0,2025-06-25 14:21:34,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65572.0,2025-06-25 13:57:55,démarrage,*,14.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65571.0,2025-06-25 11:12:44,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65570.0,2025-06-25 10:32:27,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65569.0,2025-06-25 10:31:01,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65568.0,2025-06-25 08:56:04,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65567.0,2025-06-25 08:55:23,démarrage,*,33.0,Détachant ,0.0,0,1.2,0,1.2,1.2,0.0
65566.0,2025-06-25 08:53:49,démarrage,*,12.0,Machine 8 kg,6.0,0,0.0,0,4.5,6.0,1.5
65565.0,2025-06-25 08:22:41,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65564.0,2025-06-24 19:23:52,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65563.0,2025-06-24 19:23:39,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65562.0,2025-06-24 19:23:22,démarrage,*,21.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65561.0,2025-06-24 10:01:30,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65560.0,2025-06-24 10:00:53,démarrage,*,11.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65559.0,2025-06-24 09:49:15,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65558.0,2025-06-24 09:48:49,démarrage,*,14.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65557.0,2025-06-24 09:26:02,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65556.0,2025-06-24 09:25:50,démarrage,*,22.0,Séchoir ,0.0,0,0.0,0,2.5,2.5,0.0
65555.0,2025-06-24 09:16:50,démarrage,*,12.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65554.0,2025-06-24 08:39:00,démarrage,*,11.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65553.0,2025-06-24 08:38:26,démarrage,*,10.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65552.0,2025-06-24 08:37:36,démarrage,*,13.0,Machine 8 kg,0.0,20,0.0,0,4.5,20.0,15.5
65551.0,2025-06-23 17:49:19,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65550.0,2025-06-23 17:48:59,démarrage,*,22.0,Séchoir ,0.0,0,2.5,0,2.5,2.5,0.0
65549.0,2025-06-23 16:53:46,démarrage,*,14.0,Machine 16 kg,9.0,0,0.0,0,9.0,9.0,0.0
65548.0,2025-06-23 16:53:23,démarrage,*,10.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65547.0,2025-06-23 16:51:39,démarrage,*,12.0,Machine 8 kg,0.0,5,0.0,0,4.5,5.0,0.5
65546.0,2025-06-23 16:51:09,démarrage,*,34.0,Lessive  ,0.0,0,0.0,0,1.2,1.2,0.0
65545.0,2025-06-23 15:19:16,démarrage,*,15.0,Machine 16 kg,0.0,20,0.0,0,9.0,20.0,11.0
65544.0,2025-06-23 11:16:42,démarrage,*,21.0,Séchoir ,3.0,0,0.0,0,2.5,3.0,0.5
65543.0,2025-06-23 10:21:04,démarrage,*,12.0,Machine 8 kg,0.0,0,4.5,0,4.5,4.5,0.0
65542.0,2025-06-23 10:20:09,démarrage,*,22.0,Séchoir ,0.0,10,0.0,0,2.5,10.0,7.5
65541.0,2025-06-23 10:07:40,démarrage,*,13.0,Machine 8 kg,0.0,0,0.0,0,4.5,4.5,0.0
65540.0,2025-06-23 09:40:19,démarrage,*,15.0,Machine 16 kg,0.0,10,0.0,0,9.0,10.0,1.0
65539.0,2025-06-23 09:34:48,démarrage,*,15.0,Machine 16 kg,0.0,0,9.0,0,9.0,9.0,0.0
65538.0,2025-06-22 18:39:22,démarrage,*,10.0,Machine 8 kg,0.0,10,0.0,0,4.5,10.0,5.5
